Sentence,Categorization
Dual-Use Research,Dual use
Cyber Threats,Dual use
Network Security,Non Dual use
Ethical Hacking,Non Dual use
Carbon Nanotubes,Dual use
Smart Materials,Dual use
Super Alloys,Dual use
Aerospace Engineering,Dual use
Space Exploration,Dual use
Aerodynamics,Non Dual use
Aeronautical Engineering,Dual use
Avian influenza viruses (AIVs),Dual use
Highly pathogenic avian influenza (HPAI) strains like H5N1,Dual use
HPAI H5N1 infection in humans,Dual use
HPAI H5N1,Dual use
Virus,Non Dual use
HPAI H5N1,Non Dual use
Spread of HPAI H5N1,Non Dual use
vaccine development,Non Dual use
pathogenesis,Non Dual use
Clinical manifestations of HPAI H5N1 in human cases,Non Dual use
Diagnostic tools,Non Dual use
Preventive,Non Dual use
Therapeutic strategies,Non Dual use
Better management of the potential pandemic,Non Dual use
Gene editing,Dual use
Artificial intelligence,Dual use
Cybersecurity,Non Dual use
Neural networks,Dual use
Blockchain,Non Dual use
Big data analytics,Dual use
Internet of Things (IoT),Dual use
Virtual reality,Non Dual use
Autonomous vehicles,Dual use
Social media,Non Dual use
Climate change mitigation,Non Dual use
Renewable energy,Non Dual use
Smart cities,Dual use
Augmented reality,Non Dual use
Additive manufacturing,Dual use
Brain-computer interface,Dual use
AIVs,Non Dual use
Influenza A genus,Non Dual use
Segments genome,Non Dual use
Encode,Non Dual use
Proteins,Non Dual use
Hemagglutinin (HA),Non Dual use
Neuraminidase (NA),Non Dual use
Glycoproteins,Non Dual use
Divide,Non Dual use
Intravenous pathogenicity index (IVPI) test,Non Dual use
Highly pathogenic avian influenza viruses (HPAIV),Dual use
Low pathogenic avian influenza viruses (LPAIV),Non Dual use
The transmission of HPAIV strains,Dual use
Threats to public health,Dual use
Aerospace Science and Technology(Hypersonic flight),Dual use
Armament Science and Technology(Nonlethal weaponry),Dual use
Artificial Intelligence(Predictive policing),Dual use
Biology CRISPR(gene editing),Dual use
Biomedical Engineering(Medical implants),Non Dual use
Chemistry(Synthetic opioids),Dual use
Computer Science and Technology(Advanced persistent threats),Dual use
Hypersonic Missile(Aerospace Science and Technology),Dual use
Explosives(Armament Science and Technology),Dual use
Deepfakes(Artificial Intelligence),Dual use
Gene Editing (CRISPR)Biology,Dual use
Bioprinting(Biomedical Engineering),Dual use
Chemical Weapons(Chemistry),Dual use
Strong Encryption(Cryptography),Dual use
Cyberattacks(Cybersecurity),Dual use
Autonomous Weapons Systems(Control Science and Engineering),Dual use
Stealth Technology(Aerospace Science and Technology),Dual use
Genetically Modified Organisms (GMOs)(Genetic Engineering),Dual use
Highly pathogenic avian influenza (HPAI) H5N1 virus,Dual use
Outbreak of highly pathogenic avian influenza (HPAI) H5N1 virus among poultry in Scotland,Non Dual use
H5N1 virus subsequent transmission to humans,Dual use
H5N1 virus numerous outbreaks among birds,Non Dual use
H5N1 virus (HPAI),Dual use
HPAI H5N1 infection in humans,Dual use
Fatalities,Non Dual use
Autonomous Weapons (AWS),Dual use
Autonomous technologies,Dual use
Weapon,Dual use
AI (Artificial Intelligence),Dual use
Targeting,Dual use
Dual-use technologies,Dual use
Military R&D (Research and Development),Dual use
Innovation in the civilian sector,Non Dual use
Dual-use policies,Dual use
Knowledge-based economy,Non Dual use
Military technologies,Dual use
Production of military knowledge,Dual use
"Protection against abnormal external influences (war-like action, earthquake, extreme climate)",Dual use
Dual-use technology,Dual use
Spin-off,Dual use
Military R&D (Research and Development),Dual use
Commercial aerospace technology,Non Dual use
Aircraft sector,Dual use
Dual-use technologies will be more likely for firms with civilian and military revenues,Dual use
"Weapons (f41a, f41b, f41c, f41f, f41g, f41h, f41j)",Dual use
"Ammunition (f42, f42b, f42c, f42d)",Dual use
International patent classification,Non Dual use
"Specific viral vectors (DEV, HVT, NDV, FPV, ILTV)",Non Dual use
Polyvalent vaccine,Non Dual use
CRISPR Cas9,Dual use
Live vaccines,Non Dual use
Viral replication,Non Dual use
Immune response,Non Dual use
Inactivated vaccines,Non Dual use
Mass vaccination,Non Dual use
Live influenza poultry vaccines,Non Dual use
Recombinant vector vaccines,Dual use
HA (Hemagglutinin),Non Dual use
Biological Agents,Dual use
Botulinum neurotoxins (any quantity),Dual use
